Gender,Age,Height,Weight,H_Cal_Consump,Veg_Consump,Water_Consump,Alcohol_Consump,Smoking,Meal_Count,Food_Between_Meals,Fam_Hist,H_Cal_Burn,Phys_Act,Time_E_Dev,Transport,Body_Level
Male,25.785925,1.818848,87.032398,yes,2.286481,1.797161,no,no,1.713762,Sometimes,no,no,1.658698,0.926581,Automobile,Body Level 3
Male,25.994746,1.811602,106.042142,yes,3.0,2.858171,Sometimes,no,3.0,Sometimes,yes,no,1.813318,0.680215,Public_Transportation,Body Level 4
Male,46.491859000000005,1.7180970000000002,88.60087800000001,yes,2.129969,1.568035,no,no,3.0,Sometimes,yes,no,0.8701270000000001,0.0,Automobile,Body Level 3
Female,16.0,1.57,49.0,yes,2.0,2.0,Sometimes,no,4.0,Always,no,no,0.0,1.0,Public_Transportation,Body Level 2
Female,40.654154999999996,1.52906,79.760922,yes,2.0,1.0,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.0,Automobile,Body Level 4
Male,17.925497,1.8291419999999998,59.933015000000005,yes,2.86099,2.0,no,no,4.0,Sometimes,yes,no,2.0,0.007872,Automobile,Body Level 1
Male,31.627962,1.762389,118.54873300000001,yes,2.998441,2.462916,Sometimes,no,3.0,Sometimes,yes,no,0.554646,1.9921900000000001,Automobile,Body Level 4
Male,22.0,1.65,56.0,no,3.0,3.0,Sometimes,no,3.0,Sometimes,no,no,2.0,0.0,Public_Transportation,Body Level 2
Male,41.0,1.8,99.0,yes,2.0,2.0,Frequently,no,3.0,Sometimes,no,no,2.0,1.0,Automobile,Body Level 4
Female,24.0,1.6,45.0,no,2.0,2.0,no,no,3.0,no,yes,no,1.0,0.0,Public_Transportation,Body Level 1
Female,19.621545,1.566524,61.61600000000001,yes,2.908757,1.622827,Sometimes,no,2.6960509999999998,Sometimes,no,yes,0.5399520000000001,0.0010960000000000002,Public_Transportation,Body Level 3
Female,20.0,1.5,44.0,yes,2.0,1.0,Sometimes,no,3.0,Sometimes,no,no,0.0,0.0,Automobile,Body Level 2
Male,21.016665,1.790172,105.042194,yes,2.259679,1.026143,Sometimes,no,3.0,Sometimes,yes,no,0.268801,0.077818,Public_Transportation,Body Level 4
Female,21.0,1.66,59.0,yes,1.0,2.0,no,no,3.0,Always,no,yes,3.0,0.0,Automobile,Body Level 2
Male,22.705772,1.8419889999999999,122.02495400000001,yes,3.0,1.6453380000000002,Sometimes,no,2.52751,Sometimes,yes,no,1.0254379999999998,0.0,Public_Transportation,Body Level 4
Female,21.376426000000002,1.7225270000000001,50.833028999999996,no,3.0,1.5690819999999999,Sometimes,no,3.285167,Frequently,no,no,0.545931,0.469735,Public_Transportation,Body Level 1
Female,21.322097,1.751118,149.291106,yes,3.0,2.309409,Sometimes,no,3.0,Sometimes,yes,no,1.68291,0.70558,Public_Transportation,Body Level 4
Male,37.936044,1.785957,99.199287,yes,2.0451599999999996,2.856521,Sometimes,no,1.8745319999999999,Sometimes,yes,no,2.005286,0.10540799999999999,Automobile,Body Level 4
Female,21.0,1.54,56.0,yes,2.0,2.0,Sometimes,no,1.0,Sometimes,no,no,0.0,2.0,Public_Transportation,Body Level 2
Male,31.034091999999998,1.886109,129.349471,yes,2.4996259999999997,1.125338,Sometimes,yes,3.0,Sometimes,yes,no,0.9452200000000001,1.022505,Public_Transportation,Body Level 4
Male,37.186795000000004,1.704877,107.94747,yes,2.549782,1.0,no,no,3.985442,Sometimes,yes,no,1.976582,0.0,Public_Transportation,Body Level 4
Female,16.941489,1.551288,54.93241999999999,yes,1.75375,2.0,Sometimes,no,1.2961559999999999,Sometimes,no,yes,0.110174,1.944675,Public_Transportation,Body Level 3
Male,22.088059,1.803132,106.32956899999999,yes,2.348745,2.096751,Sometimes,no,3.0,Sometimes,yes,no,0.544564,0.67688,Public_Transportation,Body Level 4
Male,18.0,1.820385,108.395005,yes,2.0,2.094479,Sometimes,no,2.1648389999999997,Sometimes,yes,no,1.0,0.676557,Public_Transportation,Body Level 4
Female,19.0,1.64,53.0,yes,3.0,1.0,no,no,3.0,Sometimes,yes,no,1.0,1.0,Public_Transportation,Body Level 2
Female,22.480889,1.6056620000000001,82.470375,yes,1.557287,2.3710150000000003,Sometimes,no,1.0,Sometimes,yes,no,0.288032,2.0,Public_Transportation,Body Level 4
Male,21.0,1.82,72.0,yes,1.0,3.0,Sometimes,no,3.0,Frequently,yes,no,2.0,0.0,Public_Transportation,Body Level 2
Female,26.0,1.65,60.0,no,3.0,2.0,no,no,4.0,Always,no,no,2.0,0.0,Walking,Body Level 2
Female,19.0,1.7,64.0,yes,3.0,3.0,no,no,3.0,no,yes,yes,3.0,1.0,Public_Transportation,Body Level 2
Female,20.102241,1.816868,153.959945,yes,3.0,2.414739,Sometimes,no,3.0,Sometimes,yes,no,1.917014,0.927982,Public_Transportation,Body Level 4
Female,18.301773,1.8087650000000002,140.29201799999998,yes,3.0,2.830247,Sometimes,no,3.0,Sometimes,yes,no,1.7831380000000001,0.789064,Public_Transportation,Body Level 4
Female,23.728707,1.663509,80.0,yes,2.0,2.13755,no,no,3.0,Sometimes,yes,no,0.0,0.124977,Public_Transportation,Body Level 3
Female,21.0,1.53,53.0,yes,3.0,2.0,Sometimes,no,3.0,Sometimes,no,no,2.0,1.0,Public_Transportation,Body Level 2
Male,17.997009,1.7426540000000001,85.0,no,2.0,2.976229,Sometimes,no,3.0,Sometimes,yes,no,1.0,0.121992,Public_Transportation,Body Level 3
Male,31.743821,1.67782,102.02205699999999,yes,2.826036,1.0,no,no,2.371658,Sometimes,yes,no,1.996487,0.0,Public_Transportation,Body Level 4
Female,21.022206,1.73995,135.69338100000002,yes,3.0,1.663213,Sometimes,no,3.0,Sometimes,yes,no,1.094035,0.786665,Public_Transportation,Body Level 4
Female,24.0,1.77,76.0,no,2.0,3.0,Sometimes,no,3.0,Sometimes,no,no,1.0,1.0,Walking,Body Level 2
Female,20.323767,1.7742069999999999,138.14316200000002,yes,3.0,2.816052,Sometimes,no,3.0,Sometimes,yes,no,1.571865,0.688058,Public_Transportation,Body Level 4
Female,22.176922,1.7174599999999998,51.491957,yes,2.486189,1.064378,no,no,3.0,Frequently,yes,no,2.206055,1.958089,Public_Transportation,Body Level 1
Female,35.0,1.53,45.0,no,3.0,1.0,no,no,3.0,Frequently,yes,no,0.0,1.0,Automobile,Body Level 2
Female,20.601222,1.7387169999999998,128.11416100000002,yes,3.0,1.7970409999999999,Sometimes,no,3.0,Sometimes,yes,no,1.4274129999999998,0.966181,Public_Transportation,Body Level 4
Female,23.0,1.66,60.0,yes,2.0,1.0,Sometimes,no,1.0,Sometimes,yes,no,1.0,1.0,Public_Transportation,Body Level 2
Female,26.0,1.608283,105.35968799999999,yes,3.0,2.4760020000000003,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.546345,Public_Transportation,Body Level 4
Male,30.315784000000004,1.701566,103.743534,yes,2.57649,1.38107,no,no,2.187145,Sometimes,yes,no,1.928275,0.413663,Public_Transportation,Body Level 4
Female,18.20634,1.807406,141.799429,yes,3.0,2.472903,Sometimes,no,3.0,Sometimes,yes,no,1.9980470000000001,0.8409110000000001,Public_Transportation,Body Level 4
Female,20.871667000000002,1.7824529999999998,137.852618,yes,3.0,2.748909,Sometimes,no,3.0,Sometimes,yes,no,1.989171,0.832515,Public_Transportation,Body Level 4
Male,30.605225,1.75,120.0,yes,2.758394,2.174248,Sometimes,yes,3.0,Sometimes,yes,no,1.079524,1.358163,Automobile,Body Level 4
Female,21.0,1.52,42.0,yes,3.0,1.0,Sometimes,no,1.0,Frequently,no,no,0.0,0.0,Public_Transportation,Body Level 1
Male,31.387982,1.8102150000000001,105.254354,yes,2.39728,2.6594189999999998,Sometimes,no,2.036794,Sometimes,yes,no,1.062011,1.771135,Automobile,Body Level 4
Female,23.0,1.48,60.0,yes,2.0,1.0,Sometimes,yes,1.0,Sometimes,yes,no,0.0,0.0,Public_Transportation,Body Level 3
Male,55.13788100000001,1.6572209999999998,80.993213,yes,2.0,2.0,no,no,3.0,Sometimes,yes,no,1.0,0.0,Automobile,Body Level 3
Male,33.0816,1.7056169999999997,83.016968,yes,2.0,2.9916709999999997,no,no,2.7976,Sometimes,yes,no,2.1487380000000003,0.0,Automobile,Body Level 3
Female,18.024744000000002,1.617192,83.121811,yes,2.976509,1.022705,no,no,3.0,Sometimes,yes,no,1.02569,0.31301599999999996,Public_Transportation,Body Level 4
Male,39.585811,1.719153,86.464843,yes,2.3256229999999998,1.94609,no,no,1.313403,Sometimes,yes,no,0.604259,0.0,Automobile,Body Level 3
